Data,Dia,Acre,Alagoas,Amazonas,Amapá,Bahia,Ceará,Distrito Federal,Espírito Santo,Goiás,Maranhão,Minas Gerais,Mato Grosso do Sul,Mato Grosso,Pará,Paraíba,Pernambuco,Piauí,Paraná,Rio de Janeiro,Rio Grande do Norte,Rondônia,Roraima,Rio Grande do Sul,Santa Catarina,Sergipe,São Paulo,Tocantins
30/03/2021,73,4282,18065,664,1619,93664,42605,9543,2718,40939,37653,18994,14307,12735,62508,23174,57515,26798,79725,93633,34221,8561,1905,94302,44529,18827,109084,7452
31/03/2021,74,3945,15861,8038,1553,68853,47053,6041,29606,41746,31901,177046,10352,15451,46027,16689,44969,19793,55011,107314,29447,9407,1275,80034,36207,15234,110034,9825
01/04/2021,75,3609,11431,6082,1868,317,47338,6248,14123,19164,17956,122156,5689,14967,36535,4737,2206,10242,43358,97762,8387,9795,2821,71303,22981,4591,106046,6274
02/04/2021,76,433,3977,579,2219,2289,30614,12,4884,2351,3995,25387,857,206,2042,1405,10676,234,8818,66599,3958,962,1203,10879,3104,6561,60409,188
03/04/2021,77,136,16035,7885,2034,38855,32931,3168,23068,1461,7236,24936,21078,445,4414,20429,15347,2374,19741,4128,6887,238,309,66467,12793,4864,51082,491
04/04/2021,78,313,5371,274,2149,12222,7576,361,1964,338,1356,749,4051,554,732,4836,935,1671,1658,4683,5971,247,295,2454,1672,1921,3995,62
05/04/2021,79,2393,18998,9596,2517,83878,22854,7853,16006,23718,27742,108925,20927,10764,19916,16578,41847,9959,31534,116926,21928,5048,12,74344,25631,14225,281044,6214
06/04/2021,80,179,19176,11373,1719,63379,28209,4186,21949,13649,369,90379,16823,11547,21751,2669,41498,12323,32287,8478,1843,5091,1416,67314,31445,13611,172949,5778
07/04/2021,81,2485,20681,12202,1812,46765,2682,3232,17514,11602,38889,11543,1366,1399,18219,25371,3841,13766,23542,113538,18394,7555,3221,4321,2225,13221,122513,4189
08/04/2021,82,2024,14284,13772,2492,41204,23192,6188,14664,13778,40928,9856,987,15195,18124,22961,38893,9744,19008,8305,14911,5637,286,46748,16093,7133,100326,4094
