UF,Data,Quantidade
AM,07/03/2021,414
AM,08/03/2021,7352
AM,09/03/2021,7289
AM,10/03/2021,9724
AM,11/03/2021,11367
AM,12/03/2021,10601
AM,13/03/2021,7733
AM,14/03/2021,345
AM,15/03/2021,11406
AM,16/03/2021,8447
AM,17/03/2021,11448
AM,18/03/2021,7367
AM,19/03/2021,11694
AM,20/03/2021,8011
AM,21/03/2021,408
AM,22/03/2021,4358
AM,23/03/2021,4139
AM,24/03/2021,364
AM,25/03/2021,3042
AM,26/03/2021,345
AM,27/03/2021,2194
AM,28/03/2021,728
AM,29/03/2021,5817
AM,30/03/2021,664
AM,31/03/2021,8038
AM,01/04/2021,6082
AM,02/04/2021,579
AM,03/04/2021,7885
AM,04/04/2021,274
AM,05/04/2021,9596
AM,06/04/2021,11373
AM,07/04/2021,12202
AM,08/04/2021,13772
AM,09/04/2021,1247
AM,10/04/2021,11126
AM,11/04/2021,699
AM,12/04/2021,15427
AM,13/04/2021,14821
AM,14/04/2021,15611
AM,15/04/2021,12901
AM,16/04/2021,13114
AM,17/04/2021,7875
AM,18/04/2021,929
AM,19/04/2021,10953
AM,20/04/2021,13504
AM,21/04/2021,11458
AM,22/04/2021,13296
AM,23/04/2021,12069
AM,24/04/2021,1099
AM,25/04/2021,640
AM,26/04/2021,1154
AM,27/04/2021,13597
AM,28/04/2021,9106
AM,29/04/2021,14964
AM,30/04/2021,14508
AM,01/05/2021,10942
AM,02/05/2021,481
AM,03/05/2021,13086
AM,04/05/2021,11882
AM,05/05/2021,11754
AM,06/05/2021,9923
AM,07/05/2021,8215
AM,08/05/2021,7922
AM,09/05/2021,453
AM,10/05/2021,12646
AM,11/05/2021,12717
AM,12/05/2021,11249
AM,13/05/2021,10811
AM,14/05/2021,10528
AM,15/05/2021,8588
AM,16/05/2021,348
AM,17/05/2021,10377
AM,18/05/2021,11296
AM,19/05/2021,16672
AM,20/05/2021,16102
AM,21/05/2021,16096
AM,22/05/2021,11988
AM,23/05/2021,482
AM,24/05/2021,16146
AM,25/05/2021,1466
AM,26/05/2021,12002
AM,27/05/2021,11907
AM,28/05/2021,10065
AM,29/05/2021,6391
AM,30/05/2021,450
AM,31/05/2021,8827
AM,01/06/2021,11376
AM,02/06/2021,19005
AM,03/06/2021,16285
AM,04/06/2021,14226
AM,05/06/2021,9902
AM,06/06/2021,26
AM,07/06/2021,4872
AM,08/06/2021,1376
AM,09/06/2021,14293
AM,10/06/2021,14994
AM,11/06/2021,1651
AM,12/06/2021,64744
AM,13/06/2021,80159
AM,14/06/2021,6727
AM,15/06/2021,19743
AM,16/06/2021,1428
AM,17/06/2021,14586
AM,18/06/2021,30423
AM,19/06/2021,51799
AM,20/06/2021,883
AM,21/06/2021,4834
AM,22/06/2021,16679
AM,23/06/2021,11421
AM,24/06/2021,7142
AM,25/06/2021,316
AP,17/01/2021,2
AP,18/01/2021,3
AP,19/01/2021,270
AP,20/01/2021,1707
AP,21/01/2021,1305
AP,22/01/2021,943
AP,23/01/2021,107
AP,24/01/2021,560
AP,25/01/2021,138
AP,26/01/2021,831
AP,27/01/2021,684
AP,28/01/2021,739
AP,29/01/2021,917
AP,30/01/2021,1112
AP,31/01/2021,2
AP,01/02/2021,396
AP,02/02/2021,867
AP,03/02/2021,115
AP,04/02/2021,723
AP,05/02/2021,1015
AP,06/02/2021,190
AP,07/02/2021,23
AP,08/02/2021,177
AP,09/02/2021,402
AP,10/02/2021,856
AP,11/02/2021,1208
AP,12/02/2021,728
AP,13/02/2021,1731
AP,14/02/2021,19
AP,15/02/2021,732
AP,16/02/2021,689
AP,17/02/2021,2097
AP,18/02/2021,2434
AP,19/02/2021,1867
AP,20/02/2021,590
AP,21/02/2021,65
AP,22/02/2021,1156
AP,23/02/2021,761
AP,24/02/2021,672
AP,25/02/2021,971
AP,26/02/2021,965
AP,27/02/2021,100
AP,28/02/2021,6
AP,01/03/2021,383
AP,02/03/2021,439
AP,03/03/2021,1156
AP,04/03/2021,842
AP,05/03/2021,1807
AP,06/03/2021,164
AP,07/03/2021,30
AP,08/03/2021,955
AP,09/03/2021,1176
AP,10/03/2021,1484
AP,11/03/2021,164
AP,12/03/2021,2011
AP,13/03/2021,1558
AP,14/03/2021,20
AP,15/03/2021,587
AP,16/03/2021,693
AP,17/03/2021,849
AP,18/03/2021,1474
AP,19/03/2021,161
AP,20/03/2021,115
AP,21/03/2021,21
AP,22/03/2021,3122
AP,23/03/2021,4321
AP,24/03/2021,4552
AP,25/03/2021,4992
AP,26/03/2021,1763
AP,27/03/2021,476
AP,28/03/2021,550
